Add Item,Shto Item,
Additional Details,Detaje shtesë,
Address,Adresë,
All,ALL,
Amended From,Ndryshuar Nga,
Amount,Sasi,
Bill,Fature,
Branch,degë,
Buying Price List,Lista e Çmimeve të Blerjes,
Cancelled,ANULOHET,
Cashier,arkëtar,
Click Enter To Add,Kliko Enter To Add,
Closing Amount,Shuma e mbylljes,
Comment,koment,
Comments,Komente,
Company,Kompani,
Cost of Goods Sold,Kostoja e mallrave të shitura,
Current Order,Rendi aktual,
Customer,klient,
Customer Name,Emri i Klientit,
Date,Data,
Default Price List,E albumit Lista e Çmimeve,
Default Tax Template,Modeli Tatimor i Parazgjedhur,
Delivery,Ofrimit të,
Depreciation,amortizim,
Details,Detalet,
Difference,ndryshim,
Direct Expenses,Shpenzimet direkte,
Disabled,I paaftë,
Draft,draft,
Duplicate,I kopjuar,
Enabled,Aktivizuar,
Expected Amount,Shuma e pritshme,
Expense,shpenzim,
Failed,I dështuar,
Grand Total,Grand Total,
Image,imazh,
Indirect Expenses,Shpenzimet indirekte,
Invoice,faturë,
Invoice Created,Fatura u krijua,
Invoice Series Prefix,Prefiksi i Serisë së Faturës,
Item,artikull,
Item Group,Grupi i artikullit,
Item Groups,Grupet artikull,
Item Name,Emri i artikullit,
Items,artikuj,
Keyboard Shortcuts,Shkurtoret e tastierës,
Linked Invoices,Faturat e lidhura,
Material,material,
Menu,Menu,
Minimum Seating,Vendndodhja minimale,
Mobile Number,Numri Mobile,
Mode of Payment,Mënyra e pagesës,
Net Profit/Loss,Fitimi / Humbja neto,
Net Total,Net Total,
No of Seats,Jo e Vendeve,
Occupied,i zënë,
Opening Amount,Shuma e Hapjes,
Order,urdhër,
Order Type,Rendit Type,
POS Invoice,Fatura POS,
POS Opening Entry,Hyrja për Hapjen e POS-it,
POS Profile,POS Profilin,
POS Transactions,Transaksionet POS,
Payment Amount,Shuma e pagesës,
Payment Reconciliation,Pajtimi Pagesa,
Payment Type,Lloji Pagesa,
Percent,Përqind,
Period End Date,Data e përfundimit të periudhës,
Period Start Date,Periudha e fillimit të periudhës,
Posting Date,Posting Data,
Posting Time,Posting Koha,
Price List (Auto created),Lista e çmimeve (krijuar automatikisht),
Print,shtyp,
Printer,printer,
Printer Settings,Cilësimet e Printerit,
Priority,Prioritet,
Production,prodhim,
Qty,Qty,
Quantity,sasi,
Queued,Queued,
Rate,normë,
Reason,Arsye,
Receiver By Role,Marrësi me rol,
Recipients,Marrësit,
Reload,Rifresko,
Remarks,Vërejtje,
Restaurant,Restorant,
Restaurant Menu,Menuja e Restorantit,
Restaurant Table,Tavolina e restorantit,
Role,Rol,
Room,dhomë,
Room Type,Tip dhome,
Session Defaults,Default Seanca,
Status,Gjendje,
Submitted,Dërguar,
Summary,përmbledhje,
System Manager,Sistemi Menaxher,
Table,Tryezë,
Tax,Tatim,
Time,kohë,
Total Quantity,Sasia totale,
Type,Lloj,
User,përdorues,
User Details,Detajet e Përdoruesit,
Verified,verifikuar,
View Website,Shikoni faqen e internetit,
Warehouse,Depo,
user,Përdorues,
