Add Item,Thêm mục,
Additional Details,Chi tiết bổ sung,
Address,Địa chỉ,
All,Tất cả,
Amended From,Sửa đổi Từ,
Amount,Giá trị,
Bill,Hóa đơn,
Branch,Chi nhánh,
Buying Price List,Bảng giá mua,
Cancelled,HỦY BỎ,
Cashier,Thu ngân,
Click Enter To Add,Nhấp Enter để Thêm,
Closing Amount,Số tiền đóng,
Comment,Bình luận,
Comments,Thẻ chú thích,
Company,Công ty,
Cost of Goods Sold,Chi phí hàng bán,
Current Order,Đơn hàng hiện tại,
Customer,Khách Hàng,
Customer Name,Tên khách hàng,
Date,Ngày,
Default Price List,Mặc định Giá liệt kê,
Default Tax Template,Mẫu thuế mặc định,
Delivery,Giao hàng,
Depreciation,Khấu hao,
Details,Chi tiết,
Difference,Sự khác biệt,
Direct Expenses,Chi phí trực tiếp,
Disabled,Đã vô hiệu hóa,
Draft,Bản nháp,
Duplicate,Bản sao,
Enabled,Đã bật,
Expected Amount,Số tiền dự kiến,
Expense,chi tiêu,
Failed,Thất bại,
Grand Total,Tổng cộng,
Image,Hình,
Indirect Expenses,Chi phí gián tiếp,
Invoice,Hóa đơn,
Invoice Created,Hóa đơn đã tạo,
Invoice Series Prefix,Tiền tố của Dòng hoá đơn,
Item,Hạng mục,
Item Group,Nhóm hàng,
Item Groups,Nhóm hàng,
Item Name,Tên mục,
Items,Khoản mục,
Keyboard Shortcuts,Các phím tắt bàn phím,
Linked Invoices,Hóa đơn được liên kết,
Material,Vật liệu,
Menu,Menu,
Minimum Seating,Ghế tối thiểu,
Mobile Number,Số điện thoại,
Mode of Payment,Phương thức thanh toán,
Net Profit/Loss,Lãi / lỗ ròng,
Net Total,Tổng thuần,
No of Seats,Số ghế,
Occupied,Chiếm,
Opening Amount,Số tiền mở,
Order,Yêu cầu,
Order Type,Loại đặt hàng,
POS Invoice,Hóa đơn POS,
POS Opening Entry,Mục mở POS,
POS Profile,Hồ sơ POS,
POS Transactions,Giao dịch POS,
Payment Amount,Số tiền thanh toán,
Payment Reconciliation,Hòa giải thanh toán,
Payment Type,Loại thanh toán,
Percent,Phần trăm,
Period End Date,Ngày kết thúc kỳ,
Period Start Date,Ngày bắt đầu kỳ,
Posting Date,Ngày đăng,
Posting Time,Thời gian gửi bài,
Price List (Auto created),Bảng Giá (Tự động tạo ra),
Print,In,
Printer,Máy in,
Printer Settings,Cài đặt máy in,
Priority,Ưu tiên,
Production,Sản xuất,
Qty,Số lượng,
Quantity,Số lượng,
Queued,Xếp hàng,
Rate,Đơn giá,
Reason,Nguyên nhân,
Receiver By Role,Người nhận theo vai trò,
Recipients,Những Người nhận,
Reload,Nạp lại,
Remarks,Ghi chú,
Restaurant,Nhà hàng,
Restaurant Menu,Thực đơn nhà hàng,
Restaurant Table,Bàn ăn,
Role,Vai trò,
Room,Phòng,
Room Type,Loại phòng,
Session Defaults,Mặc định phiên,
Status,Trạng thái,
Submitted,Đã lần gửi,
Summary,Tóm lược,
System Manager,Hệ thống quản lý,
Table,Bảng,
Tax,Thuế,
Time,Thời gian,
Total Quantity,Tổng số lượng,
Type,Loại,
User,Người dùng,
User Details,Chi tiết người dùng,
Verified,Đã xác minh,
View Website,Xem trang web,
Warehouse,Kho hàng,
user,Người dùng,
