Add Item,විෂය එකතු කරන්න,
Additional Details,අතිරේක විස්තර,
Address,ලිපිනය,
All,සෑම,
Amended From,සංශෝධිත වන සිට,
Amount,ප්රමාණය,
Bill,පනත් කෙටුම්පත,
Branch,ශාඛාව,
Buying Price List,මිලට ගැනීමේ මිල ලැයිස්තුව,
Cancelled,අවලංගු කළා,
Cashier,කෑෂ්,
Click Enter To Add,එකතු කිරීමට Enter ක්ලික් කරන්න,
Closing Amount,අවසන් මුදල,
Comment,අදහස් දක්වන්න,
Comments,අදහස්,
Company,සමාගම,
Cost of Goods Sold,විකුණුම් පිරිවැය,
Current Order,වත්මන් ඇණවුම,
Customer,පාරිභෝගික,
Customer Name,පාරිභෝගිකයාගේ නම,
Date,දිනය,
Default Price List,පෙරනිමි මිල ලැයිස්තුව,
Default Tax Template,පෙරනිමි බදු ආකෘතිය,
Delivery,සැපයුම්,
Depreciation,ක්ෂය,
Details,විස්තර,
Difference,වෙනස,
Direct Expenses,සෘජු වියදම්,
Disabled,ආබාධිත,
Draft,කෙටුම්පත,
Duplicate,අනුපිටපත්,
Enabled,සක්රීය,
Expected Amount,අපේක්ෂිත මුදල,
Expense,වියදම්,
Failed,අසමත්,
Grand Total,මුලු එකතුව,
Image,රූප,
Indirect Expenses,වක්ර වියදම්,
Invoice,ඉන්වොයිසිය,
Invoice Created,ඉන්වොයිසිය Created,
Invoice Series Prefix,ඉන්වොයිසි ශ්රේණියේ Prefix,
Item,අයිතමය,
Item Group,අයිතමය සමූහ,
Item Groups,අයිතමය කණ්ඩායම්,
Item Name,භාණ්ඩයෙ නම,
Items,අයිතම,
Keyboard Shortcuts,යතුරුපුවරු කෙටිමං,
Linked Invoices,සම්බන්ධිත ඉන්වොයිසි,
Material,ද්රව්ය,
Menu,මෙනු,
Minimum Seating,අවම ආසන,
Mobile Number,ජංගම දූරකථන අංකය,
Mode of Payment,ගෙවීමේ ක්රමය,
Net Profit/Loss,ශුද්ධ ලාභය / අලාභය,
Net Total,ශුද්ධ මුළු,
No of Seats,ආසන ගණන,
Occupied,වාඩි වී ඇත,
Opening Amount,විවෘත මුදල,
Order,නියෝග,
Order Type,සාමය වර්ගය,
POS Invoice,POS ඉන්වොයිසිය,
POS Opening Entry,POS විවෘත කිරීමේ ප්‍රවේශය,
POS Profile,POS නරඹන්න,
POS Transactions,POS ගනුදෙනු,
Payment Amount,ගෙවීමේ මුදල,
Payment Reconciliation,ගෙවීම් ප්රතිසන්ධාන,
Payment Type,ගෙවීම් වර්ගය,
Percent,සියයට,
Period End Date,කාලය අවසන් වන දිනය,
Period Start Date,කාලය ආරම්භක දිනය,
Posting Date,"ගිය තැන, දිනය",
Posting Time,"ගිය තැන, වේලාව",
Price List (Auto created),මිල ලැයිස්තුව (ස්වයංක්රීයව සාදා ඇති),
Print,මුද්‍රණය කරන්න,
Printer,මුද්‍රණ යන්ත්‍රය,
Printer Settings,මුද්‍රණ සැකසුම්,
Priority,ප්රමුඛ,
Production,නිෂ්පාදනය,
Qty,යවන ලද,
Quantity,ප්රමාණය,
Queued,පේළි,
Rate,අනුපාතය,
Reason,හේතුව,
Receiver By Role,කාර්යභාරය අනුව ලබන්නා,
Recipients,ලබන්නන්,
Reload,රීලෝඩ්,
Remarks,සටහන්,
Restaurant,අවන්හල,
Restaurant Menu,ආපන ශාලා මෙනුව,
Restaurant Table,ආපනශාලා වගුව,
Role,කාර්යභාරය,
Room,කාමරය,
Room Type,කාමර වර්ගය,
Session Defaults,සැසි පෙරනිමි,
Status,තත්ත්වය,
Submitted,ඉදිරිපත්,
Summary,සාරාංශය,
System Manager,පද්ධතිය කළමනාකරු,
Table,වගුව,
Tax,බද්ද,
Time,කාලය,
Total Quantity,මුළු ප්රමාණය,
Type,වර්ගය,
User,පරිශීලක,
User Details,පරිශීලක විස්තර,
Verified,සත්‍යාපනය,
View Website,දැක්ම වෙබ් අඩවිය,
Warehouse,පොත් ගබඩාව,
user,පරිශීලක,
