Add Item,ເພີ່ມລາຍການລາຍ,
Additional Details,ລາຍລະອຽດເພີ່ມເຕີມ,
Address,ທີ່ຢູ່,
All,ທັງ ໝົດ,
Amended From,ສະບັບປັບປຸງຈາກ,
Amount,ຈໍານວນ,
Bill,ບັນຊີລາຍການ,
Branch,ສາຂາ,
Buying Price List,ຊື້ລາຄາລາຍະການ,
Cancelled,ຫຼຸດລົງ,
Cashier,ເງິນສົດ,
Click Enter To Add,ກົດ Enter ເພື່ອຕື່ມ,
Closing Amount,ຈໍານວນເງິນທີ່ປິດ,
Comment,ຄຳ ເຫັນ,
Comments,ຄວາມຄິດເຫັນ,
Company,ບໍລິສັດ,
Cost of Goods Sold,ຄ່າໃຊ້ຈ່າຍຂອງສິນຄ້າຂາຍ,
Current Order,Order Order ປັດຈຸບັນ,
Customer,ລູກຄ້າ,
Customer Name,ຊື່ຂອງລູກຄ້າ,
Date,ວັນທີ່ສະຫມັກ,
Default Price List,ລາຄາມາດຕະຖານ,
Default Tax Template,ແມ່ແບບພາສີມາດຕະຖານ,
Delivery,ສົ່ງ,
Depreciation,ຄ່າເສື່ອມລາຄາ,
Details,ລາຍລະອຽດ,
Difference,ຄວາມແຕກຕ່າງ,
Direct Expenses,ຄ່າໃຊ້ຈ່າຍໂດຍກົງ,
Disabled,ຄົນພິການ,
Draft,Draft,
Duplicate,ຊ້ໍາ,
Enabled,ເປີດການໃຊ້ງານ,
Expected Amount,ຈໍານວນທີ່ຄາດໄວ້,
Expense,ຄ່າໃຊ້ຈ່າຍ,
Failed,ສົບຜົນສໍາເລັດ,
Grand Total,ລວມທັງຫມົດ,
Image,ຮູບພາບ,
Indirect Expenses,ຄ່າໃຊ້ຈ່າຍທາງອ້ອມ,
Invoice,ໃບເກັບເງິນ,
Invoice Created,Invoice Created,
Invoice Series Prefix,Invoice Series Prefix,
Item,ລາຍການ,
Item Group,ກຸ່ມສິນຄ້າ,
Item Groups,ກຸ່ມລາຍການ,
Item Name,ຊື່ສິນຄ້າ,
Items,ລາຍການ,
Keyboard Shortcuts,ຄີບອດ,
Linked Invoices,ບັນຊີເງິນຝາກທີ່ກ່ຽວຂ້ອງ,
Material,ອຸປະກອນການ,
Menu,ເມນູ,
Minimum Seating,ບ່ອນນັ່ງນ້ອຍສຸດ,
Mobile Number,ເບີໂທລະສັບ,
Mode of Payment,ວິທີການຊໍາລະເງິນ,
Net Profit/Loss,ກຳ ໄລສຸດທິ / ການສູນເສຍ,
Net Total,Total net,
No of Seats,ບໍ່ມີບ່ອນນັ່ງ,
Occupied,Occupied,
Opening Amount,ຈຳ ນວນເງິນເປີດ,
Order,ຄໍາສັ່ງ,
Order Type,ປະເພດຄໍາສັ່ງ,
POS Invoice,ໃບເກັບເງິນ POS,
POS Opening Entry,ການເຂົ້າເປີດ POS,
POS Profile,ຂໍ້ມູນ POS,
POS Transactions,POS Transaction,
Payment Amount,ຈໍານວນການຊໍາລະເງິນ,
Payment Reconciliation,ສ້າງຄວາມປອງດອງການຊໍາລະເງິນ,
Payment Type,ປະເພດການຊໍາລະເງິນ,
Percent,ເປີເຊັນ,
Period End Date,ວັນສິ້ນສຸດໄລຍະເວລາ,
Period Start Date,ວັນເລີ່ມຕົ້ນໄລຍະເວລາ,
Posting Date,ວັນທີ່ປະກາດ,
Posting Time,ເວລາທີ່ປະກາດ,
Price List (Auto created),ລາຄາລາຄາ (ສ້າງໂດຍອັດຕະໂນມັດ),
Print,ພິມ,
Printer,ເຄື່ອງພິມ,
Printer Settings,ການຕັ້ງຄ່າເຄື່ອງພິມ,
Priority,ບູລິມະສິດ,
Production,ການຜະລິດ,
Qty,ຈໍານວນ,
Quantity,ປະລິມານ,
Queued,ຄິວ,
Rate,ອັດຕາການ,
Reason,ເຫດຜົນ,
Receiver By Role,ຜູ້ຮັບໂດຍບົດບາດ,
Recipients,ຜູ້ຮັບ,
Reload,ໂຫລດ,
Remarks,ຂໍ້ສັງເກດ,
Restaurant,ຮ້ານອາຫານ,
Restaurant Menu,ຮ້ານອາຫານເມນູ,
Restaurant Table,Restaurant Table,
Role,ພາລະບົດບາດ,
Room,ຫ້ອງ,
Room Type,ປະເພດຫ້ອງພັກ,
Session Defaults,ຄ່າເລີ່ມຕົ້ນຂອງກອງປະຊຸມ,
Status,ສະຖານະພາບ,
Submitted,ສົ່ງ,
Summary,Summary,
System Manager,ຈັດການລະບົບ,
Table,ຕາຕະລາງ,
Tax,ພາສີ,
Time,ເວລາ,
Total Quantity,Total Quantity,
Type,ປະເພດ,
User,ຜູ້ໃຊ້,
User Details,ລາຍລະອຽດຂອງຜູ້ໃຊ້,
Verified,ຢັ້ງຢືນແລ້ວ,
View Website,ເບິ່ງເວັບໄຊທ໌,
Warehouse,Warehouse,
user,ຜູ້ໃຊ້,
