Add Item,lê zêde bike babetî,
Additional Details,Details Additional,
Address,Navnîşan,
All,Gişt,
Amended From,de guherîn From,
Amount,Biha,
Bill,Hesab,
Branch,Liq,
Buying Price List,Lîsteya bihayê bihêlin,
Cancelled,CANCELED,
Cashier,Diravgir,
Click Enter To Add,Bişkojka Enter Add Add,
Closing Amount,Girtîgeha Girtîbûnê,
Comment,Agahkişîn,
Comments,Comments,
Company,Şîrket,
Cost of Goods Sold,Cost mal Sold,
Current Order,Armanca Dawîn,
Customer,Miştirî,
Customer Name,Navê mişterî,
Date,Rojek,
Default Price List,Default List Price,
Default Tax Template,Şablon,
Delivery,Şandinî,
Depreciation,Farhad.,
Details,Details,
Difference,Ferq,
Direct Expenses,Mesref direct,
Disabled,Bêmecel,
Draft,Draft,
Duplicate,Cote,
Enabled,çalake,
Expected Amount,Amûra Mezin,
Expense,Xercî,
Failed,bi ser neket,
Grand Total,ÃƒÆ Bi tevahî,
Image,Wêne,
Indirect Expenses,Mesref nerasterast di,
Invoice,Biha,
Invoice Created,Invoice afirandin,
Invoice Series Prefix,Prefix Preoice Prefix,
Item,Şanî,
Item Group,Babetê Group,
Item Groups,Groups babetî,
Item Name,Navê Navekî,
Items,Nawy,
Keyboard Shortcuts,Kurtikên Pêl,
Linked Invoices,Girêdana vekirî,
Material,Mal,
Menu,Qerta xûrekê,
Minimum Seating,Min kêm rûniştinê,
Mobile Number,Hejmara mobîl,
Mode of Payment,Mode Kredî,
Net Profit/Loss,Feydeya / windabûna net,
Net Total,Total net,
No of Seats,No Seats,
Occupied,Occupied,
Opening Amount,Mêjera Vekirinê,
Order,Emir,
Order Type,Order Type,
POS Invoice,Fatûra POS,
POS Opening Entry,Entry Vekirina POS,
POS Profile,Profile POS,
POS Transactions,Transactions POS,
Payment Amount,Amûrdayê,
Payment Reconciliation,Lihevhatin û dayina,
Payment Type,Type Payment,
Percent,ji sedî,
Period End Date,Dîrok Dawî,
Period Start Date,Dema Destpêk Dîrok,
Posting Date,deaktîv bike Date,
Posting Time,deaktîv bike Time,
Price List (Auto created),Lîsteya bihayê (Auto-created),
Print,Çap,
Printer,Çapkar,
Printer Settings,Mîhengên çapkirinê,
Priority,Pêşeyî,
Production,Çêkerî,
Qty,Qty,
Quantity,Jimarî,
Queued,li hêvîya,
Rate,Qûrs,
Reason,Semed,
Receiver By Role,Receiver By Rol,
Recipients,Kesên,
Reload,Rûpelê,
Remarks,têbînî,
Restaurant,Aşxane,
Restaurant Menu,Menu Menu,
Restaurant Table,Restaurant Table,
Role,Role,
Room,Jûre,
Room Type,Tenduristiyê,
Session Defaults,Session Defaults,
Status,Cî,
Submitted,şandin,
Summary,Berhevkirinî,
System Manager,sîstema Manager,
Table,Mêz,
Tax,Bac,
Time,Dem,
Total Quantity,Tevahiya Giştî,
Type,Awa,
User,Bikaranîvan,
User Details,Agahdariyên Bikarhêner,
Verified,Verast kirin,
View Website,View Website,
Warehouse,Embar,
user,bikaranîvan,
