About,Acerca de,
Add Item,Añadir artículo,
Additional Details,Detalles adicionales,
Address,Dirección,
All,Todos,
Amended From,Modificado Desde,
Amount,Importe,
Apps,Apps,
Bill,Cuenta,
Branch,Sucursal,
Buying Price List,Lista de precios de compra,
Cancelled,Cancelado,
Cashier,Cajero,
Click Enter To Add,Haga clic en Entrar para Agregar,
Closing Amount,Monto de cierre,
Comment,Comentario,
Comments,Comentarios,
Company,Compañía,
Cost Per Unit,Coste por unidad,
Cost of Goods Sold,Costo sobre ventas,
Current Order,Orden actual,
Customer,Cliente,
Customer Name,Nombre del cliente,
Date,Fecha,
Default Price List,Lista de precios por defecto,
Default Tax Template,Plantilla de impuesto predeterminado,
Delivery,Entregar,
Depreciation,DEPRECIACIONES,
Details,Detalles,
Difference,Diferencia,
Direct Expenses,Gastos directos,
Disabled,Deshabilitado,
Draft,Borrador,
Duplicate,Duplicar,
Enabled,Habilitado,
Expected Amount,Monto Esperado,
Expense,Gastos,
Failed,Falló,
Frappe Support,Soporte de Frappe,
Grand Total,Total,
Image,Imagen,
Indirect Expenses,Egresos indirectos,
Invoice,FACTURA,
Invoice Created,Factura creada,
Invoice Series Prefix,Prefijo de la Serie de Facturas,
Item,Producto,
Item Group,Grupo de Productos,
Item Groups,Grupos de productos,
Item Name,Nombre del árticulo,
Items,Productos,
Keyboard Shortcuts,Atajos de teclado,
Linked Invoices,Facturas Vinculadas,
Log out,Cerrar sesión,
Material,Material,
Menu,Menú,
Minimum Seating,Asientos Mínimos,
Mobile Number,Número de teléfono móvil,
Mode of Payment,Modo de pago,
My Profile,Mi Perfil,
My Settings,Mis ajustes,
Net Profit/Loss,Beneficio neto (pérdidas,
Net Total,Total neto,
No of Seats,Nro de Asientos,
Occupied,Ocupado,
Opening Amount,Importe de apertura,
Order,Orden,
Order Status,Estado del Pedido,
Order Type,Tipo de orden,
POS Invoice,Factura POS,
POS Opening Entry,Entrada de apertura POS,
POS Profile,Perfil de POS,
POS Transactions,Transacciones POS,
Payment Amount,Importe Pagado,
Payment Reconciliation,Conciliación de pagos,
Payment Type,Tipo de pago,
Percent,Por ciento,
Period Details,Detalles del periodo,
Period End Date,Fecha de Finalización del Período,
Period Start Date,Fecha de Inicio del Período,
Posting Date,Fecha de Contabilización,
Posting Time,Hora de Contabilización,
Price List (Auto created),Lista de Precios (Creada Automáticamente),
Print,Impresión,
Printer,Impresora,
Printer Settings,Configuración de la impresora,
Priority,Prioridad,
Production,Producción,
Qty,Cantidad,
Quantity,Cantidad,
Queued,En cola,
Rate,Precio,
Reason,Razón,
Receiver By Role,Receptor por función,
Recipients,Destinatarios,
Reload,Recargar,
Remarks,Observaciones,
Restaurant,Restaurante,
Restaurant Menu,Menú del Restaurante,
Restaurant Table,Mesa de Restaurante,
Role,Rol,
Room,Habitación,
Room Type,Tipo de Habitación,
Session Defaults,Valores predeterminados de sesión,
Status,Estado,
Submitted,Validado,
Summary,Resumen,
System Manager,Administrador del sistema,
Table,Tabla,
Tax,Impuesto,
Time,Hora,
Toggle Full Width,Cambiar a ancho completo,
Toggle Theme,Cambiar tema,
Total Quantity,Cantidad total,
Type,Tipo,
User,Usuario,
User Details,Detalles de usuario,
Verified,Verificado,
View Website,Ver Sitio Web,
Warehouse,Almacén,
user,usuario,
Enter Comment,Ingresar Comentario,
Add,Agregar,
Search,Buscar,
Search by invoice id or customer name,Buscar por ID de factura o nombre del cliente,
Invoice Status,Estado de la Factura,
Filter by invoice status,Filtrar por estado de factura,
Please set an active menu for Restaurant {0},Por favor configure un menú activo para el Restaurante {0},
User is not Associated with any Branch. Please refresh Page,El usuario no está asociado a ninguna Sucursal. Por favor actualice la página,
Branch information is missing for the user. Please contact your administrator.,Falta información de la sucursal para el usuario. Por favor contacte a su administrador.,
No room assigned to this user. Please contact your administrator.,No hay habitación asignada a este usuario. Por favor contacte a su administrador.,
No branch or room information found for the user. Please contact your administrator.,No se encontró información de sucursal o habitación para el usuario. Por favor contacte a su administrador.,
Please Open POS Entry,Por favor abra la Entrada POS,
Message,Mensaje,
Please enter valid customer details,Por favor ingrese detalles válidos del cliente,
Please select a table,Por favor seleccione una mesa,
Table {0} is already occupied,La mesa {0} ya está ocupada,
Table transfer between different rooms is restricted.,La transferencia de mesas entre diferentes salas está restringida.,
Captain transfer is not allowed between different rooms,La transferencia de capitán no está permitida entre diferentes salas,
Mobile Number is Mandatory,El Número de Teléfono Móvil es Obligatorio,
Please review the remarks below for the items. Submitting now will exclude these items from the cost of goods.,Por favor revise las observaciones a continuación para los artículos. Enviar ahora excluirá estos artículos del costo de los bienes.,
Attendance not marked,Asistencia no marcada,
Total Items,Total de Artículos,
Add Discount,Añadir Descuento,
Checkout,Finalizar Compra,
Edit Cart,Editar Carrito,
Invoice Series Prefix,Prefijo de Serie de Facturas,
Default Menu,Menú Predeterminado,
Address,Dirección,
Menu Info,Información del Menú,
Room Wise Menu,Menú por Habitación,
Menu For Room,Menú para Habitación,
Default Room,Habitación Predeterminada,
Aggregator Series Prefix,Prefijo de Serie del Agregador,
Order Type Wise Menu,Menú por Tipo de Orden,
Order Type Menu,Menú de Tipo de Orden,
URY Restaurant,Restaurante URY,
Default Tax Template,Plantilla de Impuestos Predeterminada,
URY Table,Mesa URY,
URY Menu,Menú URY,
URY Order,Orden URY,
URY User,Usuario URY,
URY Room,Habitación URY,
URY Menu Item,Artículo del Menú URY,
URY KOT,KOT URY,
URY Daily P and L,P y G Diario URY,
Active Info,Información Activa,
Aggregator ID,ID del Agregador,
Aggregator Settings,Configuración del Agregador,
Breakup,Desglose,
Burning Materials (Other Consumables),Materiales de Combustión (Otros Consumibles),
Buying Price,Precio de Compra,
