Add Item,Item Add,
Additional Details,နောက်ထပ်အသေးစိတ်,
Address,လိပ်စာ,
All,အားလုံး,
Amended From,မှစ. ပြင်ဆင်,
Amount,ငွေပမာဏ,
Bill,ဘီလ်,
Branch,အညွန့,
Buying Price List,စျေးစာရင်းဝယ်ယူ,
Cancelled,ဖျက်သိမ်းခဲ့သည်,
Cashier,ငှေကိုငျစာရေး,
Click Enter To Add,Add စေရန် Enter ကိုကလစ်နှိပ်ပါ,
Closing Amount,ပမာဏပိတ်ခြင်း,
Comment,မှတ်ချက်,
Comments,comments,
Company,ကုမ္ပဏီ,
Cost of Goods Sold,ရောင်းချကုန်စည်၏ကုန်ကျစရိတ်,
Current Order,လက်ရှိအမိန့်,
Customer,ဝယ်သူ,
Customer Name,ဖောက်သည်အမည်,
Date,နေ့စှဲ,
Default Price List,default စျေးနှုန်းများစာရင်း,
Default Tax Template,default အခွန် Template ကို,
Delivery,delivery,
Depreciation,တန်ဖိုး,
Details,အသေးစိတ်အချက်အလက်များကို,
Difference,ခြားနားချက်,
Direct Expenses,တိုက်ရိုက်အသုံးစရိတ်များ,
Disabled,ချို့ငဲသော,
Draft,မူကြမ်း,
Duplicate,မူရငျးခှဲ,
Enabled,Enabled,
Expected Amount,မျှော်လင့်ထားသည့်ငွေပမာဏ,
Expense,သုံးငှေ,
Failed,Failed,
Grand Total,စုစုပေါင်း,
Image,image,
Indirect Expenses,သွယ်ဝိုက်ကုန်ကျစရိတ်,
Invoice,ဝယ်ကုန်စာရင်း,
Invoice Created,ငွေတောင်းခံလွှာ Created,
Invoice Series Prefix,ငွေတောင်းခံလွှာစီးရီးရှေ့စာလုံး,
Item,အချက်,
Item Group,item Group က,
Item Groups,item အဖွဲ့များ,
Item Name,item အမည်,
Items,items,
Keyboard Shortcuts,keyboard Shortcuts,
Linked Invoices,ဆက်နွယ်နေငွေတောင်းခံလွှာ,
Material,ပစ္စည်း,
Menu,Menu ကို,
Minimum Seating,နိမ့်ဆုံးလက်ခံ,
Mobile Number,မိုဘိုင်းဖုန်းနံပါတ်,
Mode of Payment,ငွေပေးချေမှုရမည့်၏ Mode ကို,
Net Profit/Loss,Net ကအမြတ် / ပျောက်ဆုံးခြင်း,
Net Total,net ကစုစုပေါင်း,
No of Seats,ထိုင်ခုံ၏အဘယ်သူမျှမ,
Occupied,သိမ်းပိုက်,
Opening Amount,ဖွင့်လှစ်ငွေပမာဏ,
Order,အမိန့်,
Order Type,အမိန့် Type,
POS Invoice,POS ငွေတောင်းခံလွှာ,
POS Opening Entry,POS Opening Entry,
POS Profile,POS ကိုယ်ရေးအချက်အလက်များ profile,
POS Transactions,POS အရောင်းအဝယ်များ,
Payment Amount,ငွေပေးချေမှုရမည့်ငွေပမာဏ,
Payment Reconciliation,ငွေပေးချေမှုရမည့်ပြန်လည်ရင်ကြားစေ့ရေး,
Payment Type,ငွေပေးချေမှုရမည့် Type,
Percent,ရာခိုင်နှုန်း,
Period End Date,ကာလပြီးဆုံးရက်စွဲ,
Period Start Date,ကာလ Start ကိုနေ့စွဲ,
Posting Date,Post date,
Posting Time,posting အချိန်,
Price List (Auto created),စျေးစာရင်း (အော်တို created),
Print,ပုံနှိပ်ပါ,
Printer,ပုံနှိပ်စက်,
Printer Settings,ပရင်တာက Settings,
Priority,ဦးစားပေး,
Production,ထုတ်လုပ်မှု,
Qty,Qty,
Quantity,အရေအတွက်,
Queued,Queued,
Rate,rate,
Reason,အကွောငျးရငျး,
Receiver By Role,အခန်းက္ပအားဖြင့် Receiver,
Recipients,လက်ခံသူများ,
Reload,Reload ကို,
Remarks,အမှာစကား,
Restaurant,စားသောက်ဆိုင်,
Restaurant Menu,စားသောက်ဆိုင်မီနူး,
Restaurant Table,စားသောက်ဆိုင်ဇယား,
Role,အခန်းက္ပ,
Room,အခန်းတခန်း,
Room Type,အခန်းအမျိုးအစား,
Session Defaults,session Defaults ကို,
Status,အဆင့်အတန်း,
Submitted,Submitted,
Summary,အကျဉ်းချုပ်,
System Manager,system Manager က,
Table,စားပှဲ,
Tax,အခွန်,
Time,အချိန်,
Total Quantity,စုစုပေါင်းအရေအတွက်,
Type,ပုံစံ,
User,အသုံးပြုသူကို,
User Details,အသုံးပြုသူအသေးစိတ်,
Verified,မှန်ကန်ကြောင်းအတည်ပြု,
View Website,view ဝက်ဘ်ဆိုက်,
Warehouse,ကုနျလှောငျရုံ,
user,အသုံးပြုသူ,
