Add Item,เพิ่มรายการ,
Additional Details,รายละเอียดเพิ่มเติม,
Address,ที่อยู่,
All,ทั้งหมด,
Amended From,แก้ไขเพิ่มเติมจาก,
Amount,จำนวน,
Bill,บิล,
Branch,สาขา,
Buying Price List,รายการราคาซื้อ,
Cancelled,ยกเลิก,
Cashier,แคชเชียร์,
Click Enter To Add,คลิก Enter เพื่อเพิ่ม,
Closing Amount,จำนวนเงินปิด,
Comment,คิดเห็น,
Comments,ความเห็น,
Company,บริษัท,
Cost of Goods Sold,ค่าใช้จ่ายของ สินค้าที่ขาย,
Current Order,คำสั่งซื้อปัจจุบัน,
Customer,ลูกค้า,
Customer Name,ชื่อลูกค้า,
Date,วันที่,
Default Price List,รายการราคาเริ่มต้น,
Default Tax Template,เทมเพลตภาษีที่ผิดนัด,
Delivery,การจัดส่งสินค้า,
Depreciation,ค่าเสื่อมราคา,
Details,รายละเอียด,
Difference,ข้อแตกต่าง,
Direct Expenses,ค่าใช้จ่าย โดยตรง,
Disabled,พิการ,
Draft,ร่าง,
Duplicate,ซ้ำ,
Enabled,เปิดการใช้งาน,
Expected Amount,จำนวนที่คาดหวัง,
Expense,ค่าใช้จ่าย,
Failed,ล้มเหลว,
Grand Total,รวมทั้งสิ้น,
Image,รูปภาพ,
Indirect Expenses,ค่าใช้จ่าย ทางอ้อม,
Invoice,ใบกำกับสินค้า,
Invoice Created,สร้างใบแจ้งหนี้แล้ว,
Invoice Series Prefix,คำนำหน้าของซีรี่ส์ใบแจ้งหนี้,
Item,สินค้า,
Item Group,กลุ่มสินค้า,
Item Groups,กลุ่มรายการ,
Item Name,ชื่อรายการ,
Items,รายการ,
Keyboard Shortcuts,แป้นพิมพ์ลัด,
Linked Invoices,ใบแจ้งหนี้ที่เชื่อมโยง,
Material,วัสดุ,
Menu,เมนู,
Minimum Seating,ที่นั่งขั้นต่ำ,
Mobile Number,เบอร์มือถือ,
Mode of Payment,โหมดการชำระเงิน,
Net Profit/Loss,กำไร / ขาดทุนสุทธิ,
Net Total,สุทธิ,
No of Seats,ไม่มีที่นั่ง,
Occupied,ที่ถูกครอบครอง,
Opening Amount,จำนวนเงินที่เปิด,
Order,ใบสั่ง,
Order Type,ประเภทสั่งซื้อ,
POS Invoice,ใบแจ้งหนี้ POS,
POS Opening Entry,รายการเปิด POS,
POS Profile,รายละเอียด จุดขาย,
POS Transactions,ธุรกรรม POS,
Payment Amount,จำนวนเงินที่ชำระ,
Payment Reconciliation,กระทบยอดการชำระเงิน,
Payment Type,ประเภท การชำระเงิน,
Percent,เปอร์เซ็นต์,
Period End Date,วันที่สิ้นสุดของงวด,
Period Start Date,ช่วงวันที่เริ่มต้น,
Posting Date,โพสต์วันที่,
Posting Time,โพสต์เวลา,
Price List (Auto created),รายการราคา (สร้างโดยอัตโนมัติ),
Print,พิมพ์,
Printer,เครื่องพิมพ์,
Printer Settings,การตั้งค่าเครื่องพิมพ์,
Priority,บุริมสิทธิ์,
Production,การผลิต,
Qty,จำนวน,
Quantity,จำนวน,
Queued,จัดคิว,
Rate,อัตรา,
Reason,เหตุผล,
Receiver By Role,ผู้รับตามบทบาท,
Recipients,ผู้รับ,
Reload,โหลด,
Remarks,ข้อคิดเห็น,
Restaurant,ร้านอาหาร,
Restaurant Menu,เมนูร้านอาหาร,
Restaurant Table,โต๊ะอาหาร,
Role,บทบาท,
Room,ห้อง,
Room Type,ประเภทห้อง,
Session Defaults,ค่าเริ่มต้นของเซสชัน,
Status,สถานะ,
Submitted,Submitted,
Summary,สรุป,
System Manager,จัดการระบบ,
Table,ตาราง,
Tax,ภาษี,
Time,เวลา,
Total Quantity,ปริมาณทั้งหมด,
Type,ชนิด,
User,ผู้ใช้งาน,
User Details,รายละเอียดผู้ใช้,
Verified,ได้รับการยืนยัน,
View Website,ดูเว็บไซต์,
Warehouse,คลังสินค้า,
user,ผู้ใช้งาน,
