Add Item,បញ្ចូលមុខទំនិញ,
Additional Details,សេចក្ដីលម្អិតបន្ថែម,
Address,អាសយដ្ឋាន,
All,ទាំងអស់,
Amended From,ធ្វើវិសោធនកម្មពី,
Amount,ចំនួនទឹកប្រាក់,
Bill,វិក័យប័ត្រ,
Branch,សាខា,
Buying Price List,ការទិញបញ្ជីតំលៃ,
Cancelled,បានកាត់បន្ថយ,
Cashier,អ្នកគិតលុយ,
Click Enter To Add,ចុចបញ្ចូលដើម្បីបន្ថែម,
Closing Amount,ចំនួនទឹកប្រាក់បិទ,
Comment,វិចារ,
Comments,យោបល់,
Company,ក្រុមហ៊ុន,
Cost of Goods Sold,តម្លៃនៃការលក់ទំនិញ,
Current Order,លំដាប់បច្ចុប្បន្ន,
Customer,អតិថិជន,
Customer Name,ឈ្មោះអតិថិជន,
Date,កាលបរិច្ឆេទ,
Default Price List,តារាងតម្លៃលំនាំដើម,
Default Tax Template,គំរូពន្ធលំនាំដើម,
Delivery,ការដឹកជញ្ជូន,
Depreciation,រំលស់,
Details,ពត៌មានលំអិត,
Difference,ភាពខុសគ្នា,
Direct Expenses,ការចំណាយដោយផ្ទាល់,
Disabled,ជនពិការ,
Draft,សេចក្តីព្រាង,
Duplicate,ស្ទួន,
Enabled,បានបើក,
Expected Amount,ចំនួនទឹកប្រាក់ដែលរំពឹងទុក,
Expense,ការចំណាយ,
Failed,បានបរាជ័យ,
Grand Total,តំលៃបូកសរុប,
Image,រូបភាព,
Indirect Expenses,ការចំណាយដោយប្រយោល,
Invoice,វិក័យប័ត្រ,
Invoice Created,វិក្កយប័ត្របានបង្កើត,
Invoice Series Prefix,បុព្វបទស៊េរីវិក្កយបត្រ,
Item,ធាតុ,
Item Group,ធាតុគ្រុប,
Item Groups,ក្រុមធាតុ,
Item Name,ឈ្មោះធាតុ,
Items,មុខទំនិញ,
Keyboard Shortcuts,ផ្លូវកាត់ក្តារចុច។,
Linked Invoices,វិក្កយបត្រដែលទាក់ទង,
Material,សម្ភារៈ,
Menu,ម៉ឺនុយ,
Minimum Seating,កន្លែងអង្គុយអប្បបរមា,
Mobile Number,លេខទូរសព្ទចល័ត,
Mode of Payment,របៀបបង់ប្រាក់,
Net Profit/Loss,ចំណេញ / ខាតសុទ្ធ។,
Net Total,សរុប,
No of Seats,ចំនួនកៅអី,
Occupied,កាន់កាប់,
Opening Amount,ចំនួនទឹកប្រាក់បើក,
Order,លំដាប់,
Order Type,ប្រភេទលំដាប់,
POS Invoice,វិក្កយបត្រម៉ាស៊ីនឆូតកាត,
POS Opening Entry,ធាតុបើកម៉ាស៊ីនឆូតកាត,
POS Profile,ទម្រង់ ម៉ាស៊ីនឆូតកាត,
POS Transactions,ប្រតិបត្តិការម៉ាស៊ីនឆូតកាត,
Payment Amount,ចំនួនទឹកប្រាក់ការទូទាត់,
Payment Reconciliation,ការផ្សះផ្សាការទូទាត់,
Payment Type,ប្រភេទការទូទាត់,
Percent,ភាគរយ,
Period End Date,កាលបរិច្ឆេទបញ្ចប់,
Period Start Date,កាលបរិច្ឆេទចាប់ផ្តើម,
Posting Date,ការប្រកាសកាលបរិច្ឆេទ,
Posting Time,ម៉ោងប្រកាស,
Price List (Auto created),បញ្ជីតម្លៃ (បង្កើតដោយស្វ័យប្រវត្តិ),
Print,បោះពុម្ព,
Printer,ម៉ាស៊ីនព្រីន។,
Printer Settings,ការកំណត់ម៉ាស៊ីនបោះពុម្ព។,
Priority,អាទិភាព,
Production,ផលិតកម្ម,
Qty,Qty,
Quantity,បរិមាណ,
Queued,បានដាក់ជាជួរ,
Rate,អត្រាការប្រាក់,
Reason,ហេតុផល,
Receiver By Role,អ្នកទទួលដោយតួនាទី,
Recipients,អ្នកទទួល,
Reload,ផ្ទុកឡើងវិញ,
Remarks,សុន្ទរកថា,
Restaurant,ភោជនីយដ្ឋាន,
Restaurant Menu,ម៉ឺនុយភោជនីយដ្ឋាន,
Restaurant Table,តារាងភោជនីយដ្ឋាន,
Role,តួនាទីរបស់,
Room,បន្ទប់,
Room Type,ប្រភេទបន្ទប់,
Session Defaults,លំនាំដើមវេន។,
Status,ស្ថានភាព,
Submitted,ផ្តល់ជូន,
Summary,សង្ខេប,
System Manager,ប្រព័ន្ធអ្នកគ្រប់គ្រង,
Table,តារាង,
Tax,ការបង់ពន្ធ,
Time,ពេលវេលា,
Total Quantity,បរិមាណសរុប,
Type,ប្រភេទ,
User,អ្នកប្រើ,
User Details,ព័ត៌មានលម្អិតអ្នកប្រើ,
Verified,បានផ្ទៀងផ្ទាត់។,
View Website,មើលគេហទំព័រ,
Warehouse,ឃ្លាំង,
user,របស់អ្នកប្រើ,
