Add Item,Add د قالب,
Additional Details,اضافي نورولوله,
Address,پته,
All,ټول,
Amended From,تعدیل له,
Amount,اندازه,
Bill,بیل,
Branch,څانګه,
Buying Price List,د نرخ لیست,
Cancelled,لغوه شوی,
Cashier,کیشیر,
Click Enter To Add,د اضافو لپاره داخل کړه ټک وکړئ,
Closing Amount,د تړلو مقدار,
Comment,څرګندونه,
Comments,تبصرې,
Company,شرکت,
Cost of Goods Sold,د اجناسو د لګښت پلورل,
Current Order,اوسنۍ امر,
Customer,پيرودونکو,
Customer Name,پیریدونکي نوم,
Date,نېټه,
Default Price List,Default د بیې په لېست,
Default Tax Template,اصلي مالی ټکي,
Delivery,د سپارنې پرمهال,
Depreciation,د استهالک,
Details,په بشپړه توګه کتل,
Difference,توپیر,
Direct Expenses,مستقیم لګښتونه,
Disabled,معلولينو,
Draft,مسوده,
Duplicate,دوه,
Enabled,وتوانول شوه,
Expected Amount,اټکل شوی تمه,
Expense,اخراجاتو,
Failed,کې پاتې راغی,
Grand Total,ستره مجموعه,
Image,د انځور,
Indirect Expenses,غیر مستقیم مصارف,
Invoice,صورتحساب,
Invoice Created,انوائس جوړ شو,
Invoice Series Prefix,د انوائس سایډ پریفسکس,
Item,د قالب,
Item Group,د قالب ګروپ,
Item Groups,د قالب ډلې,
Item Name,د توکي نوم,
Items,توکي,
Keyboard Shortcuts,کيلي لنډلار,
Linked Invoices,تړل شوي انوائسونه,
Material,د مادي,
Menu,غورنۍ,
Minimum Seating,لږ تر لږه څوکۍ,
Mobile Number,ګرځنده شمیره,
Mode of Payment,د پیسو موخې,
Net Profit/Loss,خالص ګټه / زیان,
Net Total,خالص Total,
No of Seats,د څوکیو شمیر,
Occupied,اشغال شوی,
Opening Amount,د خلاصیدو مقدار,
Order,نظم,
Order Type,نظم ډول,
POS Invoice,پوسټ انوائس,
POS Opening Entry,د پوز د پرانیستلو ننوتل,
POS Profile,POS پېژندنه,
POS Transactions,د پوسټ لیږدونه,
Payment Amount,د تادياتو مقدار,
Payment Reconciliation,قطعا د پخلاينې,
Payment Type,د پیسو ډول,
Percent,په سلو کې,
Period End Date,د پای نیټه نیټه,
Period Start Date,د پیل نیټه,
Posting Date,نوکرې نېټه,
Posting Time,نوکرې وخت,
Price List (Auto created),د بیې لیست (آٹو جوړ شوی),
Print,چاپ,
Printer,چاپګر,
Printer Settings,د چاپګر امستنې,
Priority,د لومړیتوب,
Production,تولید,
Qty,Qty,
Quantity,کمیت,
Queued,له پيله,
Rate,Rate,
Reason,دلیل,
Receiver By Role,د رول په واسطه ترلاسه کونکي,
Recipients,اخیستونکو,
Reload,Reload,
Remarks,څرګندونې,
Restaurant,رستورانت,
Restaurant Menu,د رستورانت ماین,
Restaurant Table,د رستورانت میز,
Role,رول,
Room,کوټه,
Room Type,د خونې ډول,
Session Defaults,د ناستې ټاکل,
Status,وضعیت,
Submitted,ته وسپارل شول,
Summary,لنډیز,
System Manager,سيستم مدير,
Table,جدول,
Tax,د مالياتو,
Time,وخت,
Total Quantity,ټول مقدار,
Type,ډول,
User,کارن,
User Details,د کارونکي توضیحات,
Verified,تصدیق شوی,
View Website,محتویات وېب پاڼه,
Warehouse,ګدام,
user,کارن,
